time,L1_J1,L1_J2,L1_J3,L4_J1,L4_J2,L4_J3
3.206906795501709,3.237657053216881,-2.297014409097521,-1.6058225069265053,0.05691291921646223,-0.0699393583929934,-0.052366544003637466
3.217191457748413,3.264600154189855,-2.303557728490944,-1.6105693306308273,0.09123558203068435,-0.028048102042510084,-0.02252217406646057
3.224757432937622,3.2847435903346014,-2.306723466492979,-1.6130383739457859,0.11097334856402725,0.00038160583606546743,-0.002193381263523323
3.2331743240356445,3.3079130095552363,-2.307135325875588,-1.6138691906564544,0.13000360762814733,0.030846527781744806,0.01963486347226757
3.240880012512207,3.317096222611487,-2.2610998090614194,-1.5854261853440932,0.130309595047582,0.034645973434093355,0.023457678125103663
3.247950315475464,3.3344214841713944,-2.213750417550356,-1.5561829197202408,0.13313871208676115,0.037822898416238857,0.026780973812914152
3.2552249431610107,3.3645875462082717,-2.2039717151686293,-1.5506853767757882,0.15001606977794785,0.05638038070595268,0.040415582199326616
3.263378858566284,3.3777661788517648,-2.1732221033985155,-1.5321187167056374,0.15749876722475434,0.07330511743408652,0.05299989379708468
3.270589590072632,3.3896205415364498,-2.1579630476138005,-1.5232367773275717,0.16587531259721788,0.09454987000153338,0.06829762459460717
3.277233600616455,3.408659791088673,-2.161340215661356,-1.5260453236513145,0.18272970934067403,0.11629919235927355,0.08385655922634476
3.2850863933563232,3.422113560144547,-2.1614792705238495,-1.5269336427262028,0.19351411450966235,0.1397723045549334,0.1007746442993058
3.2929840087890625,3.432660538753477,-2.15400788505394,-1.5230652229461725,0.20602140130473667,0.1628798684740777,0.11750743519833245
3.300403118133545,3.451753512260762,-2.1646355295321658,-1.5305251113902938,0.22431537394280407,0.18409649842727283,0.13287704274608822
3.3080010414123535,3.457612015969175,-2.1382478685544353,-1.5147160525827492,0.22460894923608982,0.27499828472771437,0.19517201740786108
3.3151979446411133,3.481138191893712,-2.14645423251406,-1.5206602035098142,0.25099071163569053,0.21511780247647977,0.15595891773364498
3.3217480182647705,3.4828677520266185,-2.116915822448718,-1.5027529650827078,0.250751348857656,0.2215020062896036,0.16126170365636167
3.3292956352233887,3.520689169410627,-2.142612794312715,-1.5197617333659577,0.25526057837981947,0.2987987239290038,0.21430209585641768
3.3386623859405518,3.5249294751785447,-2.11665617997947,-1.504424686951232,0.2803902096678581,0.2626961552745281,0.1916184990231023
3.3480236530303955,3.5519364866582936,-2.1308642790537458,-1.5143936987979714,0.26469009084486106,0.3128820732746747,0.22654261773971265
3.356135606765747,3.574305127059996,-2.129339370124546,-1.514288231509521,0.23576772209539973,0.3668091212981319,0.26356772897110436
3.363866090774536,3.567361709496062,-2.094832197526475,-1.4933515004611024,0.3070483690011192,0.3033500293415311,0.2227751265178822
3.372488021850586,3.6051987912221493,-2.1182441778356282,-1.509041889171332,0.267574490517658,0.32463783378783917,0.23817580388655626
3.3798720836639404,3.620431180203285,-2.1081443566340075,-1.5034147959214703,0.25278819180560363,0.3599444808011151,0.2628353414609992
3.3875458240509033,3.6350813223378706,-2.104871310299329,-1.5021187785170582,0.24184344218084494,0.3756133838421512,0.2743308545493146
3.3955063819885254,3.6355673886106463,-2.0918010151432456,-1.4946435392934512,0.3406928594140116,0.3468106747543898,0.25665898608106275
3.40311861038208,3.6602690076782016,-2.0918629620649782,-1.4954623216450904,0.31315840345651286,0.3385719614156355,0.25234603170978964
3.409925937652588,3.6752180264450964,-2.090601601815425,-1.4952877957439077,0.2905300231016669,0.34752249123508205,0.2594350670141436
3.4181392192840576,3.703581251178501,-2.106138906142052,-1.5058185979677645,0.2795518173261701,0.3647879691418812,0.27214141436000927
3.426536798477173,3.7241716512099194,-2.1191341002884725,-1.5147107180492019,0.27183241559217997,0.36970840143413736,0.27667917690502947
3.4336659908294678,3.736221114881835,-2.11695816190301,-1.5138890566615428,0.2656283583096438,0.35934963692427513,0.27090032167132194
3.4416234493255615,3.7518433537141505,-2.1171393994030727,-1.5145717624238901,0.26370094786293297,0.3474769318869968,0.26431152407573794
3.4495205879211426,3.76840021769487,-2.11666593356905,-1.51483510928976,0.26483132000328224,0.34300740730871887,0.2626523113524515
